[INFO][2016-12-08 11:06:15,580]This is info message.
[ERROR][2016-12-08 11:06:15,587]This is error message.
[INFO][2016-12-08 11:06:20,995]This is info message.
[ERROR][2016-12-08 11:06:21,000]This is error message.
[INFO][2016-12-08 11:11:52,396]This is info message.
[ERROR][2016-12-08 11:11:52,402]This is error message.
[INFO][2016-12-08 11:16:30,853]This is info message.
[ERROR][2016-12-08 11:16:30,858]This is error message.
[INFO][2016-12-08 11:33:14,644]This is info message.
[ERROR][2016-12-08 11:33:14,648]This is error message.
[INFO][2016-12-08 11:37:10,498]This is info message.
[ERROR][2016-12-08 11:37:10,503]This is error message.
